GTFS Stop ID,GTFS Latitude,GTFS Longitude,State
G33,40.689627,-73.953522,NY
G34,40.688873,-73.96007,NY
G35,40.688089,-73.966839,NY
G36,40.687119,-73.975375,NY
101,40.889248,-73.898583,NY
103,40.884667,-73.90087,NY
104,40.878856,-73.904834,NY
106,40.874561,-73.909831,NY
107,40.869444,-73.915279,NY
108,40.864621,-73.918822,NY
109,40.860531,-73.925536,NY
110,40.855225,-73.929412,NY
111,40.849505,-73.933596,NY
112,40.840556,-73.940133,NY
113,40.834041,-73.94489,NY
114,40.826551,-73.95036,NY
115,40.822008,-73.953676,NY
116,40.815581,-73.958372,NY
117,40.807722,-73.96411,NY
118,40.803967,-73.966847,NY
119,40.799446,-73.968379,NY
120,40.793919,-73.972323,NY
121,40.788644,-73.976218,NY
122,40.783934,-73.979917,NY
123,40.778453,-73.98197,NY
124,40.77344,-73.982209,NY
125,40.768247,-73.981929,NY
126,40.761728,-73.983849,NY
127,40.75529,-73.987495,NY
128,40.750373,-73.991057,NY
129,40.747215,-73.993365,NY
130,40.744081,-73.995657,NY
131,40.74104,-73.997871,NY
132,40.737826,-74.000201,NY
133,40.733422,-74.002906,NY
134,40.728251,-74.005367,NY
135,40.722854,-74.006277,NY
136,40.719318,-74.006886,NY
137,40.715478,-74.009266,NY
138,40.711835,-74.012188,NY
139,40.707513,-74.013783,NY
142,40.702068,-74.013664,NY
228,40.713051,-74.008811,NY
229,40.709416,-74.006571,NY
230,40.706821,-74.0091,NY
231,40.697466,-73.993086,NY
232,40.693219,-73.989998,NY
233,40.690545,-73.985065,NY
234,40.688246,-73.980492,NY
235,40.684359,-73.977666,NY
236,40.680829,-73.975098,NY
237,40.675235,-73.971046,NY
238,40.671987,-73.964375,NY
239,40.670682,-73.958131,NY
248,40.669847,-73.950466,NY
249,40.669399,-73.942161,NY
250,40.668897,-73.932942,NY
251,40.664717,-73.92261,NY
252,40.661453,-73.916327,NY
253,40.662549,-73.908946,NY
254,40.663515,-73.902447,NY
255,40.664635,-73.894895,NY
256,40.665449,-73.889395,NY
257,40.666235,-73.884079,NY
241,40.667883,-73.950683,NY
242,40.662742,-73.95085,NY
243,40.656652,-73.9502,NY
244,40.650843,-73.949575,NY
245,40.645098,-73.948959,NY
246,40.639967,-73.948411,NY
247,40.632836,-73.947642,NY
601,40.852462,-73.828121,NY
602,40.84681,-73.832569,NY
603,40.843863,-73.836322,NY
604,40.839892,-73.842952,NY
606,40.836488,-73.847036,NY
607,40.834255,-73.851222,NY
608,40.833226,-73.860816,NY
609,40.831509,-73.867618,NY
610,40.829521,-73.874516,NY
611,40.828584,-73.879159,NY
612,40.826525,-73.886283,NY
613,40.820948,-73.890549,NY
614,40.816104,-73.896435,NY
615,40.812118,-73.904098,NY
616,40.808719,-73.907657,NY
617,40.805368,-73.914042,NY
618,40.807566,-73.91924,NY
619,40.810476,-73.926138,NY
401,40.886037,-73.878751,NY
402,40.87975,-73.884655,NY
405,40.873412,-73.890064,NY
406,40.86776,-73.897174,NY
407,40.862803,-73.901034,NY
408,40.858407,-73.903879,NY
409,40.853453,-73.907684,NY
410,40.84848,-73.911794,NY
411,40.844434,-73.914685,NY
412,40.840075,-73.917791,NY
413,40.835537,-73.9214,NY
414,40.827994,-73.925831,NY
415,40.818375,-73.927351,NY
416,40.813224,-73.929849,NY
621,40.804138,-73.937594,NY
622,40.798629,-73.941617,NY
623,40.79502,-73.94425,NY
624,40.7906,-73.947478,NY
625,40.785672,-73.95107,NY
626,40.779492,-73.955589,NY
627,40.77362,-73.959874,NY
628,40.768141,-73.96387,NY
629,40.762526,-73.967967,NY
630,40.757107,-73.97192,NY
631,40.751776,-73.976848,NY
632,40.746081,-73.982076,NY
633,40.74307,-73.984264,NY
634,40.739864,-73.986599,NY
635,40.734673,-73.989951,NY
636,40.730054,-73.99107,NY
637,40.725915,-73.994659,NY
638,40.722301,-73.997141,NY
639,40.718803,-74.000193,NY
640,40.713065,-74.004131,NY
418,40.710368,-74.009509,NY
419,40.707557,-74.011862,NY
420,40.704817,-74.014065,NY
423,40.692404,-73.990151,NY
201,40.903125,-73.85062,NY
204,40.898379,-73.854376,NY
205,40.893193,-73.857473,NY
206,40.888022,-73.860341,NY
207,40.883895,-73.862633,NY
208,40.87785,-73.866256,NY
209,40.871356,-73.867164,NY
210,40.865462,-73.867352,NY
211,40.857192,-73.867615,NY
212,40.848828,-73.868457,NY
213,40.841894,-73.873488,NY
214,40.840295,-73.880049,NY
215,40.837288,-73.887734,NY
216,40.829993,-73.891865,NY
217,40.824073,-73.893064,NY
218,40.822181,-73.896736,NY
219,40.819585,-73.90177,NY
220,40.81649,-73.907807,NY
221,40.816109,-73.917757,NY
222,40.81841,-73.926718,NY
301,40.82388,-73.93647,NY
302,40.820421,-73.936245,NY
224,40.814229,-73.94077,NY
225,40.807754,-73.945495,NY
226,40.802098,-73.949625,NY
227,40.799075,-73.951822,NY
501,40.8883,-73.830834,NY
502,40.878663,-73.838591,NY
503,40.869526,-73.846384,NY
504,40.858985,-73.855359,NY
505,40.854364,-73.860495,NY
701,40.7596,-73.83003,NY
702,40.754622,-73.845625,NY
705,40.75173,-73.855334,NY
706,40.749865,-73.8627,NY
707,40.749145,-73.869527,NY
708,40.748408,-73.876613,NY
709,40.747659,-73.883697,NY
710,40.746848,-73.891394,NY
711,40.746325,-73.896403,NY
712,40.74563,-73.902984,NY
713,40.744149,-73.912549,NY
714,40.743132,-73.918435,NY
715,40.743781,-73.924016,NY
716,40.744587,-73.930997,NY
718,40.750582,-73.940202,NY
719,40.747023,-73.945264,NY
720,40.742216,-73.948916,NY
721,40.742626,-73.953581,NY
723,40.751431,-73.976041,NY
724,40.753821,-73.981963,NY
725,40.755477,-73.987691,NY
902,40.755983,-73.986229,NY
901,40.752769,-73.979189,NY
726,40.755882,-74.00191,NY
Q05,40.784318,-73.947152,NY
Q04,40.777891,-73.951787,NY
Q03,40.768799,-73.958424,NY
S31,40.643748,-74.073643,NY
S30,40.636949,-74.074835,NY
S29,40.627915,-74.075162,NY
S28,40.621319,-74.071402,NY
S27,40.603117,-74.084087,NY
S26,40.596612,-74.087368,NY
S25,40.588849,-74.09609,NY
S24,40.583591,-74.103338,NY
S23,40.578965,-74.109704,NY
S22,40.57348,-74.11721,NY
S21,40.56511,-74.12632,NY
S20,40.5564,-74.136907,NY
S19,40.551231,-74.151399,NY
S18,40.544601,-74.16457,NY
S17,40.54046,-74.178217,NY
S16,40.533674,-74.191794,NY
S15,40.525507,-74.200064,NY
S14,40.52241,-74.217847,NY
S13,40.519631,-74.229141,NY
S09,40.512764,-74.251961,NY
S11,40.516578,-74.242096,NY
