GTFS Stop ID,GTFS Latitude,GTFS Longitude,Grad/Bach Deg 2014
112,40.840556,-73.940133,0.179630666
111,40.849505,-73.933596,0.18401893
110,40.855225,-73.929412,0.146041056
109,40.860531,-73.925536,0.398239254
108,40.864621,-73.918822,0.125422456
107,40.869444,-73.915279,0.523022847
106,40.874561,-73.909831,0.222744531
104,40.878856,-73.904834,0.143418468
103,40.884667,-73.90087,0.143418468
101,40.889248,-73.898583,0.417194929
